Region,Codigo region,Comuna,Codigo comuna,Poblacion,Fecha,Casos confirmados
Arica y Parinacota,15,Arica,15101,247552,2020-03-30,6
Arica y Parinacota,15,Camarones,15102,1233,2020-03-30,0
Arica y Parinacota,15,General Lagos,15202,810,2020-03-30,0
Arica y Parinacota,15,Putre,15201,2515,2020-03-30,0
Arica y Parinacota,15,Desconocido Arica y Parinacota,NA,NA,2020-03-30,NA
Tarapacá,01,Alto Hospicio,01107,129999,2020-03-30,0
Tarapacá,01,Camina,01402,1375,2020-03-30,0
Tarapacá,01,Colchane,01403,1583,2020-03-30,0
Tarapacá,01,Huara,01404,3000,2020-03-30,0
Tarapacá,01,Iquique,01101,223463,2020-03-30,5
Tarapacá,01,Pica,01405,5958,2020-03-30,0
Tarapacá,01,Pozo Almonte,01401,17395,2020-03-30,0
Tarapacá,01,Desconocido Tarapaca,NA,NA,2020-03-30,NA
Antofagasta,02,Antofagasta,02101,425725,2020-03-30,29
Antofagasta,02,Calama,02201,190336,2020-03-30,0
Antofagasta,02,Maria Elena,02302,6814,2020-03-30,0
Antofagasta,02,Mejillones,02102,14776,2020-03-30,0
Antofagasta,02,Ollague,02202,287,2020-03-30,0
Antofagasta,02,San Pedro de Atacama,02203,10434,2020-03-30,0
Antofagasta,02,Sierra Gorda,02103,1746,2020-03-30,0
Antofagasta,02,Taltal,02104,13657,2020-03-30,0
Antofagasta,02,Tocopilla,02301,28079,2020-03-30,0
Antofagasta,02,Desconocido Antofagasta,NA,NA,2020-03-30,NA
Atacama,03,Alto del Carmen,03302,5729,2020-03-30,0
Atacama,03,Caldera,03102,19426,2020-03-30,0
Atacama,03,Chanaral,03201,13164,2020-03-30,0
Atacama,03,Copiapo,03101,171766,2020-03-30,0
Atacama,03,Diego de Almagro,03202,14358,2020-03-30,0
Atacama,03,Freirina,03303,7681,2020-03-30,0
Atacama,03,Huasco,03304,11264,2020-03-30,0
Atacama,03,Tierra Amarilla,03103,14312,2020-03-30,0
Atacama,03,Vallenar,03301,57009,2020-03-30,0
Atacama,03,Desconocido Atacama,NA,NA,2020-03-30,NA
Coquimbo,04,Andacollo,04103,11791,2020-03-30,0
Coquimbo,04,Canela,04202,9546,2020-03-30,0
Coquimbo,04,Combarbala,04302,13884,2020-03-30,0
Coquimbo,04,Coquimbo,04102,256735,2020-03-30,17
Coquimbo,04,Illapel,04201,32801,2020-03-30,0
Coquimbo,04,La Higuera,04104,4450,2020-03-30,0
Coquimbo,04,La Serena,04101,249656,2020-03-30,0
Coquimbo,04,Los Vilos,04203,23374,2020-03-30,0
Coquimbo,04,Monte Patria,04303,32527,2020-03-30,0
Coquimbo,04,Ovalle,04301,121269,2020-03-30,4
Coquimbo,04,Paiguano,04105,4675,2020-03-30,0
Coquimbo,04,Punitaqui,04304,12165,2020-03-30,0
Coquimbo,04,Rio Hurtado,04305,4372,2020-03-30,0
Coquimbo,04,Salamanca,04204,29110,2020-03-30,0
Coquimbo,04,Vicuna,04106,29741,2020-03-30,0
Coquimbo,04,Desconocido Coquimbo,NA,NA,2020-03-30,NA
Valparaíso,05,Algarrobo,05602,15174,2020-03-30,7
Valparaíso,05,Cabildo,05402,20663,2020-03-30,0
Valparaíso,05,Calera,05502,53591,2020-03-30,6
Valparaíso,05,Calle Larga,05302,16482,2020-03-30,0
Valparaíso,05,Cartagena,05603,25357,2020-03-30,0
Valparaíso,05,Casablanca,05102,29170,2020-03-30,0
Valparaíso,05,Catemu,05702,15213,2020-03-30,0
Valparaíso,05,Concon,05103,45889,2020-03-30,0
Valparaíso,05,El Quisco,05604,17742,2020-03-30,0
Valparaíso,05,El Tabo,05605,14338,2020-03-30,0
Valparaíso,05,Hijuelas,05503,19099,2020-03-30,0
Valparaíso,05,Isla de Pascua,05201,8277,2020-03-30,0
Valparaíso,05,Juan Fernandez,05104,1033,2020-03-30,0
Valparaíso,05,La Cruz,05504,25321,2020-03-30,0
Valparaíso,05,La Ligua,05401,37739,2020-03-30,0
Valparaíso,05,Limache,05802,49931,2020-03-30,0
Valparaíso,05,Llaillay,05703,26533,2020-03-30,0
