Age,Cause,Country,ISOAlpha3,Measure,Metric,Sex,Subregion name,Unit of measurement,Year,Value
All-ages,Breast cancer,Argentina,ARG,Deaths,Rate,Female,Southern Cone,"deaths per 100,000 population",2000,31.8069
All-ages,Breast cancer,Argentina,ARG,Deaths,Rate,Female,Southern Cone,"deaths per 100,000 population",2001,32.528
All-ages,Breast cancer,Argentina,ARG,Deaths,Rate,Female,Southern Cone,"deaths per 100,000 population",2002,31.1058
All-ages,Breast cancer,Argentina,ARG,Deaths,Rate,Female,Southern Cone,"deaths per 100,000 population",2003,33.5351
All-ages,Breast cancer,Argentina,ARG,Deaths,Rate,Female,Southern Cone,"deaths per 100,000 population",2004,31.7577
All-ages,Breast cancer,Argentina,ARG,Deaths,Rate,Female,Southern Cone,"deaths per 100,000 population",2005,32.244
All-ages,Breast cancer,Argentina,ARG,Deaths,Rate,Female,Southern Cone,"deaths per 100,000 population",2006,31.5459
All-ages,Breast cancer,Argentina,ARG,Deaths,Rate,Female,Southern Cone,"deaths per 100,000 population",2007,31.6373
All-ages,Breast cancer,Argentina,ARG,Deaths,Rate,Female,Southern Cone,"deaths per 100,000 population",2008,30.2644
All-ages,Breast cancer,Argentina,ARG,Deaths,Rate,Female,Southern Cone,"deaths per 100,000 population",2009,31.1292
All-ages,Breast cancer,Argentina,ARG,Deaths,Rate,Female,Southern Cone,"deaths per 100,000 population",2010,31.07
All-ages,Breast cancer,Argentina,ARG,Deaths,Rate,Female,Southern Cone,"deaths per 100,000 population",2011,30.7114
All-ages,Breast cancer,Argentina,ARG,Deaths,Rate,Female,Southern Cone,"deaths per 100,000 population",2012,30.5614
All-ages,Breast cancer,Argentina,ARG,Deaths,Rate,Female,Southern Cone,"deaths per 100,000 population",2013,30.9433
All-ages,Breast cancer,Argentina,ARG,Deaths,Rate,Female,Southern Cone,"deaths per 100,000 population",2014,30.4012
All-ages,Breast cancer,Argentina,ARG,Deaths,Rate,Female,Southern Cone,"deaths per 100,000 population",2015,30.7211
All-ages,Breast cancer,Argentina,ARG,Deaths,Rate,Female,Southern Cone,"deaths per 100,000 population",2016,30.7324
All-ages,Breast cancer,"Bolivia, Plurinational State of",BOL,Deaths,Rate,Female,Andean area,"deaths per 100,000 population",2000,5.0776
All-ages,Breast cancer,"Bolivia, Plurinational State of",BOL,Deaths,Rate,Female,Andean area,"deaths per 100,000 population",2001,5.0024
All-ages,Breast cancer,"Bolivia, Plurinational State of",BOL,Deaths,Rate,Female,Andean area,"deaths per 100,000 population",2002,5.048
