Age,Cause,Country,ISOAlpha3,Measure,Metric,Sex,Subregion name,Unit of measurement,Year,Value
All-ages,Self-harm,Argentina,ARG,Deaths,Rate,Female,Southern Cone,"deaths per 100,000 population",2000,3.6728
All-ages,Self-harm,Argentina,ARG,Deaths,Rate,Male,Southern Cone,"deaths per 100,000 population",2000,15.5917
All-ages,Self-harm,Argentina,ARG,Deaths,Rate,Both sexes,Southern Cone,"deaths per 100,000 population",2000,9.5044
All-ages,Self-harm,Argentina,ARG,Deaths,Rate,Female,Southern Cone,"deaths per 100,000 population",2001,4.3018
All-ages,Self-harm,Argentina,ARG,Deaths,Rate,Male,Southern Cone,"deaths per 100,000 population",2001,17.2017
All-ages,Self-harm,Argentina,ARG,Deaths,Rate,Both sexes,Southern Cone,"deaths per 100,000 population",2001,10.6127
All-ages,Self-harm,Argentina,ARG,Deaths,Rate,Female,Southern Cone,"deaths per 100,000 population",2002,4.5166
All-ages,Self-harm,Argentina,ARG,Deaths,Rate,Male,Southern Cone,"deaths per 100,000 population",2002,16.868
All-ages,Self-harm,Argentina,ARG,Deaths,Rate,Both sexes,Southern Cone,"deaths per 100,000 population",2002,10.5588
All-ages,Self-harm,Argentina,ARG,Deaths,Rate,Female,Southern Cone,"deaths per 100,000 population",2003,4.0949
All-ages,Self-harm,Argentina,ARG,Deaths,Rate,Male,Southern Cone,"deaths per 100,000 population",2003,16.078
All-ages,Self-harm,Argentina,ARG,Deaths,Rate,Both sexes,Southern Cone,"deaths per 100,000 population",2003,9.9568
All-ages,Self-harm,Argentina,ARG,Deaths,Rate,Female,Southern Cone,"deaths per 100,000 population",2004,3.8566
All-ages,Self-harm,Argentina,ARG,Deaths,Rate,Male,Southern Cone,"deaths per 100,000 population",2004,14.6845
All-ages,Self-harm,Argentina,ARG,Deaths,Rate,Both sexes,Southern Cone,"deaths per 100,000 population",2004,9.1534
All-ages,Self-harm,Argentina,ARG,Deaths,Rate,Female,Southern Cone,"deaths per 100,000 population",2005,3.9036
All-ages,Self-harm,Argentina,ARG,Deaths,Rate,Male,Southern Cone,"deaths per 100,000 population",2005,14.4076
All-ages,Self-harm,Argentina,ARG,Deaths,Rate,Both sexes,Southern Cone,"deaths per 100,000 population",2005,9.0419
All-ages,Self-harm,Argentina,ARG,Deaths,Rate,Female,Southern Cone,"deaths per 100,000 population",2006,3.4915
All-ages,Self-harm,Argentina,ARG,Deaths,Rate,Male,Southern Cone,"deaths per 100,000 population",2006,14.7957
All-ages,Self-harm,Argentina,ARG,Deaths,Rate,Both sexes,Southern Cone,"deaths per 100,000 population",2006,9.0211
All-ages,Self-harm,Argentina,ARG,Deaths,Rate,Female,Southern Cone,"deaths per 100,000 population",2007,3.5198
All-ages,Self-harm,Argentina,ARG,Deaths,Rate,Male,Southern Cone,"deaths per 100,000 population",2007,14.3365
All-ages,Self-harm,Argentina,ARG,Deaths,Rate,Both sexes,Southern Cone,"deaths per 100,000 population",2007,8.8107
All-ages,Self-harm,Argentina,ARG,Deaths,Rate,Female,Southern Cone,"deaths per 100,000 population",2008,3.5345
All-ages,Self-harm,Argentina,ARG,Deaths,Rate,Male,Southern Cone,"deaths per 100,000 population",2008,15.098
