id,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
IZliv4xo67c,0,2,0,0,0
Gty0tPoESxc,192,9,0,0,1
96niOlwgosg,72,7,1,0,0
kFRAm2f2YS4,143,6,0,0,0
imDMLZZVACs,239,9,0,0,0
JRt_YIAYL1g,317,11,0,0,0
snyzIXkZMbY,164,3,0,0,0
-TkVVs2zlsY,234,13,0,0,0
6MfVY3NJH1E,274,12,1,0,6
_6JsEhMMyao,369,22,1,0,0
rD6TfqD0Y4A,259,11,0,0,1
Qs1m94AmqZM,342,18,0,0,0
0Ve54pZest8,323,18,1,0,2
QYYxoosP9u4,658,33,0,0,5
0ttBrNZ4akg,353,30,0,0,2
EwLZW7HTlb4,474,14,0,0,3
s6oIxMjCmlQ,448,13,0,0,0
VXKgEvZecX8,485,32,0,0,2
4iTLel_-46w,228,8,0,0,3
v1k5tyg-u40,152,12,0,0,3
r-mS-chnxJw,193,10,0,0,0
Jt9NUEySBx0,454,12,0,0,2
NXz_Y-DACaQ,479,7,0,0,0
rzzXYeoEm1I,324,7,0,0,0
2HNp8TBxXtk,491,14,0,0,1
lzlOVbeth1g,454,17,0,0,0
b3ICiZlGXdc,426,14,0,0,4
yspwVnChwOQ,654,22,0,0,2
ae_JpNzrATU,2447,31,0,0,3
TdReXOj88j4,881,7,0,0,1
Ae7Ql0eKu64,2058,14,0,0,4
hVkucvXz1dc,427,6,0,0,0
R-QOTvvI6Iw,781,14,0,0,3
Ue1WZM6VNiA,646,14,0,0,0
tMQXJnv8SAg,4889,48,5,0,8
KLDTS8gwBXo,12505,63,7,0,3
kko-GoSJxNQ,3996,33,3,0,4
ETybic7Z4Yw,1718,14,0,0,0
CfhfzkmYOMM,2818,61,1,0,1
U2k3_wXAWZs,1057,22,1,0,3
ZfID7BiL-Go,1336,11,0,0,0
bNr_W6Rh9eI,1592,15,0,0,1
2rF4BlQaJ1Y,2619,21,1,0,4
NfpqGtHBVeE,1330,15,0,0,0
vVH_-Jp0Yb0,3352,23,1,0,0
3YmQGs3lC18,1263,23,1,0,1
N7VsSnZQEPE,10974,41,2,0,4
H1Yfg6WTOek,2441,7,1,0,0
EDuzZb0_lAM,1609,7,0,0,4
7_XQNpLGh1A,2850,23,2,0,0
acsNzez2Un0,5263,27,0,0,2
L0JTo2n2aHE,2219,14,0,0,0
ke7u9Lkylls,3845,28,0,0,1
7gBXtZEJIq0,4380,34,2,0,3
daTA1qBI_Jw,1855,17,0,0,0
Aczryp_vm6s,2294,38,0,0,4
PSqvjPyeoxg,1353,16,0,0,0
LS39oJtK1GU,2602,24,0,0,3
oXYZA4btTdc,2272,22,2,0,2
YBPakMhx5Qo,1487,14,0,0,0
fD_QMlJz9u4,4459,34,5,0,2
1kg565G4rZg,4447,41,1,0,2
7wBeXw4hIEg,6112,98,3,0,12
FHKMcoWk150,424,7,0,0,0
2EsaQPJzoeo,1362,27,1,0,0
NNvnbc7Of2U,13795,166,20,0,19
cfbgN7tAla0,307,6,0,0,0
