kind,etag,id,contentDetails.videoId,contentDetails.videoPublishedAt
youtube#playlistItem,91hS0XN8veJ9umGL3_gA4SU92Og,VVUyRW5JX0kyX1NEcFRfV1lYRXNsVWl3LklabGl2NHhvNjdj,IZliv4xo67c,2020-08-10T00:52:44Z
youtube#playlistItem,n-fqTcqYMjqz06ccEr8MoJGYKB8,VVUyRW5JX0kyX1NEcFRfV1lYRXNsVWl3Lkd0eTB0UG9FU3hj,Gty0tPoESxc,2020-08-06T12:58:08Z
youtube#playlistItem,DbGERf9iFOth3ZzJwkC9O5NsEX4,VVUyRW5JX0kyX1NEcFRfV1lYRXNsVWl3Ljk2bmlPbHdnb3Nn,96niOlwgosg,2020-08-10T14:00:11Z
youtube#playlistItem,xrJ3_TaVmHEbLsPgjvEvNCPudFU,VVUyRW5JX0kyX1NEcFRfV1lYRXNsVWl3LmtGUkFtMmYyWVM0,kFRAm2f2YS4,2020-08-06T14:00:11Z
youtube#playlistItem,PK2PXb7cAHbV_0tgP1T9D2MiTBU,VVUyRW5JX0kyX1NEcFRfV1lYRXNsVWl3LmltRE1MWlpWQUNz,imDMLZZVACs,2020-08-03T15:00:10Z
youtube#playlistItem,Jy_xBv7i_2TiyK-63T9v-mYwbvo,VVUyRW5JX0kyX1NEcFRfV1lYRXNsVWl3LkpSdF9ZSUFZTDFn,JRt_YIAYL1g,2020-07-30T13:06:47Z
youtube#playlistItem,Vnkvrc32oPN96O_MsaYt7-RycXw,VVUyRW5JX0kyX1NEcFRfV1lYRXNsVWl3LnNueXpJWGtaTWJZ,snyzIXkZMbY,2020-07-23T15:23:58Z
youtube#playlistItem,5l2CdBXU3xnqEG8DgioWdJrm9oc,VVUyRW5JX0kyX1NEcFRfV1lYRXNsVWl3Li1Ua1ZWczJ6bHNZ,-TkVVs2zlsY,2020-07-23T12:52:16Z
youtube#playlistItem,fwH10uWV4AcUw4678-1xEK4M-jQ,VVUyRW5JX0kyX1NEcFRfV1lYRXNsVWl3LjZNZlZZM05KSDFF,6MfVY3NJH1E,2020-07-16T13:14:12Z
youtube#playlistItem,BZqVEWuwzYS0BA_6mDb8LIMx3O0,VVUyRW5JX0kyX1NEcFRfV1lYRXNsVWl3Ll82SnNFaE1NeWFv,_6JsEhMMyao,2020-07-09T13:00:42Z
youtube#playlistItem,kxEtWO_QPYpSsAKF3H2qK5x3FDw,VVUyRW5JX0kyX1NEcFRfV1lYRXNsVWl3LnJENlRmcUQwWTRB,rD6TfqD0Y4A,2020-07-02T12:31:52Z
