Date,lat,lon,dep,yr,mag
1900-01-05,-3,102,0,1900,7
1900-01-11,-5,148,0,1900,7
1900-01-18,44.5,148.5,35,1900,6.7
1900-01-20,20,-105,0,1900,7.3
1900-01-31,48,146,450,1900,7.5
1900-04-24,27,126.5,35,1900,6.9
1900-05-11,38.7,141.1,5,1900,7
1900-05-16,20,-105,0,1900,6.9
1900-06-21,10,-85.5,0,1900,7.2
1900-07-29,-10,165,0,1900,7.6
1900-08-05,37.3,141.7,35,1900,6.6
1900-08-29,41.2,142.8,35,1900,6.8
1900-09-17,-5,148,0,1900,7.1
1900-10-07,-4,140,0,1900,6.9
1900-10-09,57.09,-153.48,0,1900,7.7
1900-10-29,11,-66,0,1900,7.7
1900-11-05,33.9,139.4,5,1900,6.6
1900-11-09,13,-90,0,1900,7
1900-11-12,3,147,0,1900,6.9
1900-11-24,43.5,148,35,1900,7
1900-12-25,43,146,35,1900,7.1
1901-01-07,-2,-82,0,1901,7.2
1901-01-13,42.3,143.8,35,1901,6.8
1901-01-18,60,-135,0,1901,7.1
1901-02-15,26,100.1,0,1901,6.5
1901-03-05,25,-110,0,1901,6.9
1901-03-16,-10,40,0,1901,6.9
1901-04-05,2,130,0,1901,6.8
1901-04-05,44.5,149,35,1901,7.3
1901-04-21,29.5,90.1,0,1901,6.8
1901-05-14,44.5,149,35,1901,6.6
1901-05-25,-10,160,0,1901,7.2
1901-06-15,39,143,35,1901,7
1901-06-24,28,130,35,1901,7.2
1901-06-24,28,130,35,1901,6.5
1901-08-09,40.5,142.5,35,1901,7.2
1901-08-09,-22,170,0,1901,7.9
1901-08-09,40.6,142.3,35,1901,7.5
1901-08-10,-5,155,0,1901,6.9
1901-08-11,-23,178,0,1901,6.8
1901-09-08,-11,170,0,1901,6.9
1901-09-30,40.2,141.9,35,1901,6.8
1901-10-08,13,-87,0,1901,7.1
1901-11-15,-43,173,0,1901,6.8
1901-11-25,3,127,0,1901,7
1901-12-09,26,-110,0,1901,7.1
1901-12-14,14,122,0,1901,7
1901-12-31,52,-177,0,1901,7.1
1902-01-01,55,-165,0,1902,7
1902-01-12,3,122,0,1902,7
1902-01-17,41.6,141.9,35,1902,6.5
1902-01-24,-8,150,0,1902,7.2
1902-01-30,40.5,141.3,35,1902,6.9
1902-01-30,40.9,141.7,0,1902,6.9
1902-01-31,41.6,142.2,35,1902,6.6
1902-02-09,-20,-174,0,1902,6.9
1902-02-09,-43,-171,0,1902,6.9
1902-02-17,20,-70,0,1902,6.9
1902-02-20,41.4,141.8,35,1902,6.7
1902-03-05,-20,-70,0,1902,6.8
1902-03-22,35,-120,0,1902,6.8
1902-03-28,0,133,0,1902,6.9
1902-04-11,51.6,104.5,16,1902,6.6
1902-04-19,14,-91,0,1902,7.5
1902-05-02,39,144,35,1902,7
1902-05-08,30.5,131.5,35,1902,6.6
1902-05-28,42.8,144.8,35,1902,6.5
1902-07-03,43.2,129.6,20,1902,6.7
1902-07-06,-25,-175,0,1902,6.8
1902-08-22,40,77,0,1902,7.7
1902-08-30,40,77,0,1902,6.8
1902-09-22,18,146,0,1902,7.5
1902-09-23,16,-93,0,1902,7.8
1902-10-06,36.5,70.5,200,1902,7.2
1902-11-04,36,96,0,1902,6.9
1902-11-20,-22,170,0,1902,6.9
1902-11-21,22.5,121.5,5,1902,6.8
1902-12-12,29,-114,0,1902,7.1
1903-01-04,-20,-175,400,1903,7.8
1903-01-14,15,-98,0,1903,7.4
1903-01-17,50,-170,0,1903,7
1903-02-01,48,98,0,1903,7.1
1903-02-03,34,137,100,1903,6.5
1903-02-05,52,175,0,1903,6.8
1903-02-27,-8,106,0,1903,7.3
1903-04-19,37,71,160,1903,6.9
1903-04-29,-20,-175,0,1903,7.1
1903-05-13,-17,168,0,1903,7
1903-06-02,57,-156,0,1903,6.9
1903-08-11,36.36,22.97,80,1903,8.1
1903-10-29,-20,167,0,1903,6.9
1903-10-30,-20,175,0,1903,6.8
1903-11-26,52.7,107.6,30,1903,6.7
1903-12-07,-27,-70,0,1903,6.8
1903-12-23,-10,165,0,1903,6.8
1903-12-28,7,127,0,1903,7.1
1904-01-07,-50,165,0,1904,6.9
1904-01-20,7,-79,0,1904,7.2
1904-03-18,42.7,146.1,35,1904,6.8
1904-03-19,-29,-71,0,1904,7
1904-04-04,41.75,23.25,0,1904,7.1
1904-05-01,-33,-178,0,1904,6.8
1904-05-01,2,130,0,1904,7
1904-06-07,39,135,350,1904,7.4
1904-06-25,52,159,0,1904,7.5
1904-06-25,52,159,0,1904,7.6
1904-06-27,52,159,0,1904,7.2
1904-07-24,52,159,0,1904,6.7
1904-08-08,-42,179,0,1904,6.9
1904-08-24,30,131,35,1904,7.1
1904-08-27,64,-151,0,1904,7.2
1904-08-30,30,101,0,1904,6.8
1904-10-03,12,58,0,1904,7
1904-10-28,8,113,0,1904,7
1904-12-20,8.5,-83,0,1904,7.2
1904-12-27,31,138,100,1904,6.7
1905-01-13,0,143,0,1905,6.8
1905-01-22,1,123,90,1905,7.8
1905-02-14,53,-178,0,1905,7.2
1905-02-17,26,96,0,1905,6.8
1905-02-19,-10,168,0,1905,6.8
1905-02-27,-23,-176,0,1905,6.9
1905-03-04,-4,149,60,1905,6.9
