video_id,title,description,iframe,link
IZliv4xo67c,Flexdashboard - Sesion 1 - 2020-08-12,En esta primera sesion aprenderemos sobre como diseñar dashboard utilizando la libreria de flexdashboards.,"
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/IZliv4xo67c"" 
frameborder=""0"" allow=""accelerometer; autoplay; 
encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>
",https://youtu.be/IZliv4xo67c
Gty0tPoESxc,RnoteBooks parte 2,"En el taller pasado aprendimos como agregar diferentes elementos de diseño a nuestro notebook ahora aprenderemos a agregar codigo y correrlo. Crearemos imagenes, usaremos codigo en python, y SQL","
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/Gty0tPoESxc"" 
frameborder=""0"" allow=""accelerometer; autoplay; 
encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>
",https://youtu.be/Gty0tPoESxc
96niOlwgosg,Probabilidad Condicional - Problema 77,"Un estudio de conducta, después de un tratamiento hecho a gran número adictos a las drogas, sugiere que la probabilidad de hallarlos culpables no más de dos años después del tratamiento depende de la educación de los infractores. Las proporciones del número total de casos que caen en cuatro categorías
de educación-culpabilidad se muestran en la tabla siguiente:

Suponga que se selecciona un solo infractor del programa de tratamiento. Defi na los eventos: A: el infractor tiene 10 o más años de educación. B: el infractor es hallado culpable en no más de dos años después de terminar el tratamiento.
Encuentre lo siguiente:


== Tabla de contenido ==
00:00 Recuerda suscribierte
00:12 Lectura del problema
01:18 Recomendaciones para la solucion del problema
02:48 Solucion inciso a.
03:12 (b)
03:57 (c)
04:45 (d)
05:47 (e)
06:24 (f)
06:54 (g)
07:23 (h)
08:01 (i)
08:40 Recomendaciones finales 



===Suscribete a nuestro canal en youtube===
http://www.youtube.com/academatica

===Siguenos en Facebook===
http://www.facebook.com/academatica

===Visitas nuestros sitios===
http://www.academatica.com","
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/96niOlwgosg"" 
frameborder=""0"" allow=""accelerometer; autoplay; 
encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>
",https://youtu.be/96niOlwgosg
kFRAm2f2YS4,Probabilidad Condicional - Problema 76,"Una encuesta de consumidores en una comunidad particular mostró que 10% no estaban satisfechos con los trabajos de plomería realizados en sus casas. La mitad de las quejas se refería al plomero A, que realiza 40% de los trabajos de plomería de la población. Encuentre la probabilidad de que un consumidor obtenga 

a. un trabajo de plomería no satisfactorio, dado que el plomero era A.

b. un trabajo de plomería satisfactorio, dado que el plomero era A.

==  Table de contenido ==
00:00 Recuerda darle me gusta
00:27 Lectura del problema
01:37 Recomendacion iniciales para la solucion
04:17 Solucion Inciso a.
06:43 Solcuion inciso b.
07:46 Recomendaciones finales

===Siguenos en Facebook===
http://www.facebook.com/academatica

===Visitas nuestros sitios===
http://www.academatica.com","
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/kFRAm2f2YS4"" 
frameborder=""0"" allow=""accelerometer; autoplay; 
encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>
",https://youtu.be/kFRAm2f2YS4
imDMLZZVACs,Probabilidad condicional - Problema 75,"Se reparten cartas, una a la vez, de una baraja de 52 cartas. 

a. Si las primeras 2 cartas son espadas, ¿cuál es la probabilidad de que las siguientes 3 cartas también sean espadas?

b. Si las primeras 3 cartas son todas de espadas, ¿cuál es la probabilidad de que las 2 cartas siguientes sean también espadas?

c. Si las primeras 4 cartas son todas de espadas, ¿cuál es la probabilidad de que la siguiente carta sea
también una espada?

=== Tabla de contenido ===

00:00 Suscribete!
00:33 Lectura problema
01:09 Introduccion a la solucion
02:06 Solucion inciso a.
09:04 Solucion inciso b.
12:06 Solucion inciso c.
14:24 Recomendaciones finales

===Siguenos en Facebook===
http://www.facebook.com/academatica

===Visitas nuestros sitios===
http://www.academatica.com","
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/imDMLZZVACs"" 
frameborder=""0"" allow=""accelerometer; autoplay; 
encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>
",https://youtu.be/imDMLZZVACs
JRt_YIAYL1g,R Note Books Parte 1,En este taller aprenderemos como crear notebooks en R. El plan es aprender a utilizarlos para presentar analisis.,"
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/JRt_YIAYL1g"" 
frameborder=""0"" allow=""accelerometer; autoplay; 
encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>
",https://youtu.be/JRt_YIAYL1g
snyzIXkZMbY,Agregando estadisticas al boxplot ggplot2,Reaolviendo algunas dudas que salieron en el taller,"
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/snyzIXkZMbY"" 
frameborder=""0"" allow=""accelerometer; autoplay; 
encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>
",https://youtu.be/snyzIXkZMbY
-TkVVs2zlsY,Taller. Visualizacion de datos con GGPLOT parte 3,Seguimos con nuestro live sobre visualizaciones en ggplot. Aqui aprenderemos sobre otras geometrias que tenemos disponibles. Este es la ultima parte de este taller.,"
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/-TkVVs2zlsY"" 
frameborder=""0"" allow=""accelerometer; autoplay; 
encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>
",https://youtu.be/-TkVVs2zlsY
6MfVY3NJH1E,Visualizacion con ggplot 2 parte 2,"En el stream del dia hoy, Resolveremos algunas dudas del ultimo stream. Tambien aprenderemos sobre histogramas, graficas de barras y lineas.","
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/6MfVY3NJH1E"" 
frameborder=""0"" allow=""accelerometer; autoplay; 
encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>
",https://youtu.be/6MfVY3NJH1E
_6JsEhMMyao,Introduccion a GGPLOT 2,En este taller aprenderemos el uso basico de la libreria ggplot 2 que nos servira para crear graficas en R.,"
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/_6JsEhMMyao"" 
frameborder=""0"" allow=""accelerometer; autoplay; 
encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>
",https://youtu.be/_6JsEhMMyao
rD6TfqD0Y4A,Taller Tidy Data,En este taller aprenderemos sobre que es tidy data y como manipular diferentes formas de data para llevarlas a tidy.,"
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/rD6TfqD0Y4A"" 
frameborder=""0"" allow=""accelerometer; autoplay; 
encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>
",https://youtu.be/rD6TfqD0Y4A
Qs1m94AmqZM,Manipulacion de datos con dplyr parte3,Seguimos con nuestro webminar sobre manipulacion de datos. En la parte 3 aprenderemos sobre joins.,"
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/Qs1m94AmqZM"" 
frameborder=""0"" allow=""accelerometer; autoplay; 
encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>
",https://youtu.be/Qs1m94AmqZM
0Ve54pZest8,Manipulacion de Datos con DPLYR Part 2,Parte 2 del taller de manipulacion de datos en dplyr. Aprenderemos a trabajar con filtros agrupados y mutates.,"
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/0Ve54pZest8"" 
frameborder=""0"" allow=""accelerometer; autoplay; 
encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>
",https://youtu.be/0Ve54pZest8
